Site,Replicate,carapace_width
GTM,1,12.43
GTM,2,14.18
GTM,3,14.52
GTM,4,12.94
GTM,5,12.45
GTM,6,12.99
GTM,7,10.32
GTM,8,11.19
GTM,9,12.68
GTM,11,14.55
GTM,12,14.92
GTM,13,13.48
GTM,14,13.76
GTM,15,13.1
GTM,16,13.56
GTM,17,13.51
GTM,18,12.12
GTM,19,14.33
GTM,20,12.52
GTM,21,12.03
GTM,22,11.84
GTM,23,7.55
GTM,24,12.59
GTM,25,10.05
GTM,26,13
GTM,27,11.29
GTM,28,11.58
GTM,29,7.81
SI,1,9.26
SI,2,12.58
SI,3,10.51
SI,4,8.09
SI,5,10.96
SI,6,9.55
SI,7,7.28
SI,8,12.66
SI,9,6.64
SI,10,10.56
SI,11,10.62
SI,12,11.11
SI,13,13.39
SI,14,7.65
SI,15,10.33
SI,16,6.91
SI,17,9.45
SI,18,7.96
SI,19,8.86
SI,20,13.63
SI,21,9.55
SI,22,10.75
SI,23,9.09
SI,24,9.09
SI,25,9.08
SI,26,9.73
SI,27,8.88
SI,28,11.42
SI,29,10.86
SI,30,9.18
NIB,1,14.53
NIB,2,17.29
NIB,3,14.69
NIB,4,12.57
NIB,5,12.89
NIB,6,15.14
NIB,7,16.99
NIB,8,14.01
NIB,9,15.32
NIB,10,8.52
NIB,11,11.98
NIB,12,13.71
NIB,13,8.84
NIB,14,10.77
NIB,15,12.71
NIB,16,15.31
NIB,17,10.55
NIB,18,12.87
NIB,19,17.04
NIB,20,14.47
NIB,21,13.63
NIB,22,10.34
NIB,23,15.82
NIB,24,11.45
NIB,25,15.88
NIB,26,12.7
NIB,27,11.95
NIB,28,15.67
NIB,29,11.4
NIB,30,9.72
ZI,1,14.71
ZI,2,12.5
ZI,3,14.73
ZI,4,13.05
ZI,5,12.74
ZI,6,12.18
ZI,7,13.64
ZI,8,13.96
ZI,9,15.74
ZI,10,13.73
ZI,11,14.31
ZI,12,13.39
ZI,13,11.91
ZI,14,9.81
ZI,15,10.38
ZI,16,11.27
ZI,17,11.62
ZI,18,12.8
ZI,19,11.41
ZI,20,13.88
ZI,21,11.1
ZI,22,11.65
ZI,23,9.95
ZI,24,9.87
ZI,25,8.29
ZI,26,8.45
ZI,27,15.1
ZI,28,11.69
ZI,29,9.86
ZI,30,8.05
ZI,31,10.58
ZI,32,13.51
ZI,33,10.34
ZI,34,11.96
ZI,35,14.07
RC,1,14.19
RC,2,11.17
RC,3,13.88
RC,4,17.64
RC,5,17.41
RC,6,12.59
RC,7,13.62
RC,8,16.37
RC,9,13.04
RC,10,10.19
RC,11,14.98
RC,12,13.35
RC,13,11.83
RC,14,11.81
RC,15,13.59
RC,16,11.05
RC,17,12.5
RC,18,12.09
RC,19,11.44
RC,20,10.41
RC,21,10.19
RC,22,9.41
RC,23,9.4
RC,24,10.09
RC,25,10.05
VCR,1,21.29
VCR,2,19.36
VCR,3,18.3
VCR,4,17.33
VCR,5,20.78
VCR,6,21.35
VCR,7,19.15
VCR,8,11.66
VCR,9,18.71
VCR,10,19.76
VCR,11,18.79
VCR,12,14.2
VCR,13,19.01
VCR,14,12.94
VCR,15,13.3
VCR,16,19.9
VCR,17,16.7
VCR,18,15.04
VCR,19,14.93
VCR,20,14.04
VCR,21,16.11
VCR,22,16.22
VCR,23,12.66
VCR,24,13.99
VCR,25,13.15
VCR,26,14.65
VCR,27,13.84
VCR,28,15.93
VCR,29,15.06
VCR,30,11.92
DB,1,18.06
DB,2,18.3
DB,3,14.21
DB,4,17.35
DB,5,16.6
DB,6,13.46
DB,7,15.08
DB,8,15.81
DB,9,20.32
DB,10,17.33
DB,11,16.64
DB,12,14.92
DB,13,18.45
DB,14,20.38
DB,15,17.19
DB,16,13.06
DB,17,13.9
DB,18,16.01
DB,19,14.27
DB,20,13.5
DB,21,15
DB,22,14.3
DB,23,15.12
DB,24,14.25
DB,25,15.36
DB,26,14.26
DB,27,13.28
DB,28,11.46
DB,29,14.36
DB,30,15.89
JC,1,20.92
JC,2,18.36
JC,3,12.12
JC,4,12.84
JC,5,12.83
JC,6,17.56
JC,7,18.39
JC,8,15.33
JC,9,17.93
JC,10,18.35
JC,11,15.78
JC,12,16.03
JC,13,12.22
JC,14,9.58
JC,15,14.39
JC,16,12.74
JC,17,13.48
JC,18,15.52
JC,19,17.84
JC,20,17.91
JC,21,13.37
JC,22,16.96
JC,23,12.2
JC,24,12.14
JC,25,17.01
JC,26,14.62
JC,27,12.37
JC,28,19.2
JC,29,15.63
JC,30,14.62
CT,1,15.52
CT,2,15.26
CT,3,15.62
CT,4,16.75
CT,5,15.96
CT,6,12.26
CT,7,11.01
CT,8,13.47
CT,9,16.05
CT,10,16.35
CT,11,16.04
CT,12,15.43
CT,13,16.29
CT,14,13.95
CT,15,17.75
CT,16,12.08
CT,17,12.03
CT,18,11.56
CT,19,15.73
CT,20,17.4
CT,21,11.3
CT,22,12.03
CT,23,17.08
CT,24,12.24
CT,25,11.34
CT,26,19.47
CT,27,13.5
CT,28,15.8
CT,29,17.04
CT,30,18.06
CT,31,12.75
CT,32,11.78
CT,33,15.92
NB,1,20.28
NB,2,19.54
NB,3,21.94
NB,4,16.95
NB,5,15.03
NB,6,16.2
NB,7,21.47
NB,8,17.97
NB,9,18.31
NB,10,16.56
NB,11,18.23
NB,12,17.93
NB,13,17.48
NB,14,17.17
NB,15,17.44
NB,16,14.82
NB,17,13.19
NB,18,13.25
NB,19,14.52
NB,20,17.55
NB,21,20.78
NB,22,18.33
NB,23,17.85
NB,24,14.16
NB,25,15.85
NB,26,14.16
NB,27,15.85
NB,28,17.13
NB,29,17.13
CC,1,17.39
CC,2,19.33
CC,3,18.84
CC,4,14.8
CC,5,18.07
CC,6,19.31
CC,7,17.1
CC,8,17.17
CC,9,18.39
CC,10,18.94
CC,11,15.58
CC,12,18.82
CC,13,16.25
CC,14,16.63
CC,15,15.54
CC,16,19.27
CC,17,14.4
CC,18,19.85
CC,19,16.74
CC,20,13.84
CC,21,16.54
CC,22,16.07
CC,23,15.28
CC,24,16.69
CC,25,16.79
CC,26,10.62
CC,27,15.76
BC,1,23.43
BC,2,17
BC,3,19.17
BC,4,16.35
BC,5,21.49
BC,6,22.02
BC,7,22.21
BC,8,22.44
BC,9,21.92
BC,10,19.8
BC,11,21.03
BC,12,18.41
BC,13,20.19
BC,14,17.97
BC,15,11.56
BC,16,19.58
BC,17,18.1
BC,18,15.22
BC,19,19.25
BC,20,19.99
BC,21,21.81
BC,22,21.39
BC,23,17.33
BC,24,11.39
BC,25,10.15
BC,26,12.92
BC,27,9.42
BC,28,12.74
BC,29,11.58
BC,30,10.1
BC,31,11.77
BC,32,11.51
BC,33,9.01
BC,34,10.04
BC,35,10.91
BC,36,10.24
BC,37,9.86
